# Typed slots for quarantined pilot topics (ADR-0039 slot-audit protocol).
#
# This is the manual review gate the importer deliberately refuses to
# automate: a topic leaves missing_typed_slots only when an editor has
# assigned its predicate slots. The column scheme mirrors the audited
# profile (qxfx0-plan-v2 era: qxfx0-semantic/assets/argued_topics.tsv):
#
#   topic           normalized pilot topic, must be a review-passed candidate
#   predicate_id    stable semantic id of the chosen source predicate
#   subject_id      seed graph atom id of the topic (verified to exist)
#   relation_id     semantic id of the head relation
#   object_id       semantic id of the governed object
#   thesis_surface  VERBATIM russian surface from the source row (the
#                   importer re-checks it against the corpus row and
#                   rejects a paraphrase as audited_surface_not_in_source_row)
#
# Measurement only: `import_haskell_corpus.py --typed-slots <this file>`
# merges these rows into the audited index for quarantine re-measurement.
# Nothing here promotes a topic; activation remains a separately reviewed
# catalog lifecycle decision.
#
# The first four rows are hand-reviewed. The rest are drafted by
# scripts/generate_typed_slots.py under deterministic rules (verbatim prop
# surface, transliterated verb/object slugs) and committed for review —
# reruns append nothing new.
topic	predicate_id	subject_id	relation_id	object_id	thesis_surface
пауза и смысл	pauza_i_smysl_i	pauza_i_smysl	i	smysl_svyazany_cherez_ostanovku_i_osmyslenie	пауза и смысл связаны через остановку и осмысление
переводимость и непереводимость	perevodimost_i_neperevodimost_i	perevodimost_i_neperevodimost	i	neperevodimost_vyrazhayut_granitsy_yazyka	переводимость и непереводимость выражают границы языка
перед неизвестным	pered_neizvestnym_neizvestnym	pered_neizvestnym	neizvestnym	trebuet_smelosti	перед неизвестным требует смелости
переживание значимости	perezhivanie_znachimosti_znachimosti	perezhivanie_znachimosti	znachimosti	vyrazhaet_tsennost_opyta	переживание значимости выражает ценность опыта
пережитое в новой рамке	perezhitoe_v_novoy_ramke_v	perezhitoe_v_novoy_ramke	v	novoy_ramke_izmenyaet_ego_smysl	пережитое в новой рамке изменяет его смысл
перспектива наблюдателя	perspektiva_nablyudatelya_nablyudatelya	perspektiva_nablyudatelya	nablyudatelya	formiruet_interpretatsiyu	перспектива наблюдателя формирует интерпретацию
повторное переживание	povtornoe_perezhivanie_perezhivanie	povtornoe_perezhivanie	perezhivanie	uglublyaet_ponimanie	повторное переживание углубляет понимание
позиция субъекта	pozitsiya_subekta_subekta	pozitsiya_subekta	subekta	vyrazhaet_ego_otnoshenie_k_miru	позиция субъекта выражает его отношение к миру
порядок мысли	poryadok_mysli_mysli	poryadok_mysli	mysli	strukturiruet_poznanie	порядок мысли структурирует познание
порядок следования событий	poryadok_sledovaniya_sobytiy_sledovaniya	poryadok_sledovaniya_sobytiy	sledovaniya	sobytiy_ustanavlivaet_prichinnost	порядок следования событий устанавливает причинность
поток переживаний	potok_perezhivaniy_perezhivaniy	potok_perezhivaniy	perezhivaniy	sostavlyaet_opyt	поток переживаний составляет опыт
потребность в другом	potrebnost_v_drugom_v	potrebnost_v_drugom	v	drugom_vyrazhaet_sotsialnost	потребность в другом выражает социальность
потребностью и распределением ресурсов	potrebnostyu_i_raspredeleniem_resursov_i	potrebnostyu_i_raspredeleniem_resursov	i	raspredeleniem_resursov_balansiruet_obschestvo	потребностью и распределением ресурсов балансирует общество
почему а не зачем	pochemu_a_ne_zachem_a	pochemu_a_ne_zachem	a	ne_zachem_razlichaet_prichinu_ot_tseli	почему а не зачем различает причину от цели
поэзия	poeziya_vyrazhaet	poeziya	vyrazhaet	krasotu_cherez_yazyk	поэзия выражает красоту через язык
право	pravo_ustanavlivaet	pravo	ustanavlivaet	normativnye_granitsy	право устанавливает нормативные границы
праздность созерцания	prazdnost_sozertsaniya_sozertsaniya	prazdnost_sozertsaniya	sozertsaniya	otkryvaet_prostranstvo_dlya_refleksii	праздность созерцания открывает пространство для рефлексии
превосходство над полезным	prevoskhodstvo_nad_poleznym_nad	prevoskhodstvo_nad_poleznym	nad	poleznym_vyrazhaet_tsennost_skazuemogo	превосходство над полезным выражает ценность сказуемого
предел действия	predel_deystviya_deystviya	predel_deystviya	deystviya	opredelyaet_granitsu_vozmozhnogo	предел действия определяет границу возможного
предел слова	predel_slova_slova	predel_slova	slova	vyrazhaet_nevyrazimoe	предел слова выражает невыразимое
предел существования	predel_suschestvovaniya_suschestvovaniya	predel_suschestvovaniya	suschestvovaniya	zadayotsya_smertyu	предел существования задаётся смертью
пределы контроля	predely_kontrolya_kontrolya	predely_kontrolya	kontrolya	ustanavlivayut_granitsy_vlasti	пределы контроля устанавливают границы власти
преемственность я	preemstvennost_ya_ya	preemstvennost_ya	ya	sokhranyaet_identichnost_vo_vremeni	преемственность я сохраняет идентичность во времени
преобразование материи	preobrazovanie_materii_materii	preobrazovanie_materii	materii	vyrazhaet_tvorcheskuyu_silu_truda	преобразование материи выражает творческую силу труда
преодоление сопротивления	preodolenie_soprotivleniya_soprotivleniya	preodolenie_soprotivleniya	soprotivleniya	trebuet_usiliya	преодоление сопротивления требует усилия
преодоление эгоцентризма	preodolenie_egotsentrizma_egotsentrizma	preodolenie_egotsentrizma	egotsentrizma	otkryvaet_drugoy	преодоление эгоцентризма открывает другой
преодоления препятствий и конкурирующих мотивов	preodoleniya_prepyatstviy_i_konkuriruyuschikh_motivov_prepyatstviy	preodoleniya_prepyatstviy_i_konkuriruyuschikh_motivov	prepyatstviy	i_konkuriruyuschikh_motivov_trebuet_voli	преодоления препятствий и конкурирующих мотивов требует воли
привычка и рутина	privychka_i_rutina_i	privychka_i_rutina	i	rutina_razlichayutsya_po_osoznannosti	привычка и рутина различаются по осознанности
признание прав другого	priznanie_prav_drugogo_prav	priznanie_prav_drugogo	prav	drugogo_vyrazhaet_uvazhenie	признание прав другого выражает уважение
признание ценности другого	priznanie_tsennosti_drugogo_tsennosti	priznanie_tsennosti_drugogo	tsennosti	drugogo_formiruet_otnosheniya	признание ценности другого формирует отношения
принуждение и авторитет	prinuzhdenie_i_avtoritet_i	prinuzhdenie_i_avtoritet	i	avtoritet_razlichayutsya_po_legitimnosti	принуждение и авторитет различаются по легитимности
принятия без полного доказательства	prinyatiya_bez_polnogo_dokazatelstva_bez	prinyatiya_bez_polnogo_dokazatelstva	bez	polnogo_dokazatelstva_vyrazhaet_veru	принятия без полного доказательства выражает веру
приоритет над желанием	prioritet_nad_zhelaniem_nad	prioritet_nad_zhelaniem	nad	zhelaniem_vyrazhaet_dolg	приоритет над желанием выражает долг
присутствие	prisutstvie_vyrazhaet	prisutstvie	vyrazhaet	vklyuchyonnost_v_moment	присутствие выражает включённость в момент
присутствие без выражения	prisutstvie_bez_vyrazheniya_bez	prisutstvie_bez_vyrazheniya	bez	vyrazheniya_vyrazhaet_glubinu_opyta	присутствие без выражения выражает глубину опыта
причина и следствие	prichina_i_sledstvie_i	prichina_i_sledstvie	i	sledstvie_ustanavlivayut_prichinnost	причина и следствие устанавливают причинность
проверка опытом	proverka_opytom_opytom	proverka_opytom	opytom	podtverzhdaet_znanie	проверка опытом подтверждает знание
прозрачность намерений	prozrachnost_namereniy_namereniy	prozrachnost_namereniy	namereniy	vyrazhaet_chestnost	прозрачность намерений выражает честность
пространство возможностей	prostranstvo_vozmozhnostey_vozmozhnostey	prostranstvo_vozmozhnostey	vozmozhnostey	otkryvaet_buduschee	пространство возможностей открывает будущее
против забвения	protiv_zabveniya_zabveniya	protiv_zabveniya	zabveniya	napravlena_pamyat	против забвения направлена память
процедура и результат	protsedura_i_rezultat_i	protsedura_i_rezultat	i	rezultat_razlichayutsya_po_tselenapravlennosti	процедура и результат различаются по целенаправленности
прошлое для настоящего	proshloe_dlya_nastoyaschego_dlya	proshloe_dlya_nastoyaschego	dlya	nastoyaschego_sokhranyaetsya_pamyatyu	прошлое для настоящего сохраняется памятью
прошлое с настоящим через интерпретацию	proshloe_s_nastoyaschim_cherez_interpretatsiyu_s	proshloe_s_nastoyaschim_cherez_interpretatsiyu	s	nastoyaschim_cherez_interpretatsiyu_soedinyaet_vremya	прошлое с настоящим через интерпретацию соединяет время
прыжок за горизонт	pryzhok_za_gorizont_za	pryzhok_za_gorizont	za	gorizont_vyrazhaet_smelost	прыжок за горизонт выражает смелость
псевдосвобода	psevdosvoboda_maskiruet	psevdosvoboda	maskiruet	prinuzhdenie	псевдосвобода маскирует принуждение
психика	psikhika_vyrazhaet	psikhika	vyrazhaet	vnutrennyuyu_zhizn_subekta	психика выражает внутреннюю жизнь субъекта
пустота или вектор	pustota_ili_vektor_ili	pustota_ili_vektor	ili	vektor_vyrazhaet_vybor_napravleniya	пустота или вектор выражает выбор направления
пустота как полнота	pustota_kak_polnota_kak	pustota_kak_polnota	kak	polnota_vyrazhaet_paradoks_bytiya	пустота как полнота выражает парадокс бытия
равенство перед правилом	ravenstvo_pered_pravilom_pered	ravenstvo_pered_pravilom	pered	pravilom_ustanavlivaet_spravedlivost	равенство перед правилом устанавливает справедливость
разделение и кооперация	razdelenie_i_kooperatsiya_i	razdelenie_i_kooperatsiya	i	kooperatsiya_balansiruyut_individualnost_i_kollektivnost	разделение и кооперация балансируют индивидуальность и коллективность
различение внутри и снаружи	razlichenie_vnutri_i_snaruzhi_vnutri	razlichenie_vnutri_i_snaruzhi	vnutri	i_snaruzhi_ustanavlivaet_granitsu	различение внутри и снаружи устанавливает границу
различение истинного и ложного	razlichenie_istinnogo_i_lozhnogo_istinnogo	razlichenie_istinnogo_i_lozhnogo	istinnogo	i_lozhnogo_ustanavlivaet_kriteriy_istiny	различение истинного и ложного устанавливает критерий истины
различение починить и заменить	razlichenie_pochinit_i_zamenit_pochinit	razlichenie_pochinit_i_zamenit	pochinit	i_zamenit_vyrazhaet_otnoshenie_k_vescham	различение починить и заменить выражает отношение к вещам
различение с истиной	razlichenie_s_istinoy_s	razlichenie_s_istinoy	s	istinoy_ustanavlivaet_granitsu_poznaniya	различение с истиной устанавливает границу познания
различение сущего и ничто	razlichenie_suschego_i_nichto_suschego	razlichenie_suschego_i_nichto	suschego	i_nichto_raskryvaet_glubokuyu_ontologiyu	различение сущего и ничто раскрывает глубокую онтологию
различение я и не я	razlichenie_ya_i_ne_ya_ya	razlichenie_ya_i_ne_ya	ya	i_ne_ya_ustanavlivaet_granitsu_subektnosti	различение я и не я устанавливает границу субъектности
разрушение порядка	razrushenie_poryadka_poryadka	razrushenie_poryadka	poryadka	vyrazhaet_krizis	разрушение порядка выражает кризис
разрыв и восстановление	razryv_i_vosstanovlenie_i	razryv_i_vosstanovlenie	i	vosstanovlenie_vyrazhayut_dialektiku_tselostnosti	разрыв и восстановление выражают диалектику целостности
разрыв и восстановление доверия	razryv_i_vosstanovlenie_doveriya_i	razryv_i_vosstanovlenie_doveriya	i	vosstanovlenie_doveriya_proveryayut_prochnost_otnosheniy	разрыв и восстановление доверия проверяют прочность отношений
рамка критериев	ramka_kriteriev_kriteriev	ramka_kriteriev	kriteriev	ustanavlivaet_granitsy_suzhdeniya	рамка критериев устанавливает границы суждения
революция	revolyutsiya_preryvaet	revolyutsiya	preryvaet	nepreryvnost	революция прерывает непрерывность
ремонт	remont_vosstanavlivaet	remont	vosstanavlivaet	funktsiyu	ремонт восстанавливает функцию
рефлексия над собой	refleksiya_nad_soboy_nad	refleksiya_nad_soboy	nad	soboy_uglublyaet_samopoznanie	рефлексия над собой углубляет самопознание
решимость	reshimost_preodolevaet	reshimost	preodolevaet	kolebaniya	решимость преодолевает колебания
риск уязвимости	risk_uyazvimosti_uyazvimosti	risk_uyazvimosti	uyazvimosti	otkryvaet_vozmozhnost_doveriya	риск уязвимости открывает возможность доверия
рынок	rynok_balansiruet	rynok	balansiruet	spros_i_predlozhenie	рынок балансирует спрос и предложение
с речью но не тождественно пустоте	s_rechyu_no_ne_tozhdestvenno_pustote_rechyu	s_rechyu_no_ne_tozhdestvenno_pustote	rechyu	no_ne_tozhdestvenno_pustote_vyrazhaet_nyuansy_smysla	с речью, но не тождественно пустоте выражает нюансы смысла
сам факт существования	sam_fakt_suschestvovaniya_fakt	sam_fakt_suschestvovaniya	fakt	suschestvovaniya_vyrazhaet_bytie	сам факт существования выражает бытие
самокоррекция	samokorrektsiya_vyrazhaet	samokorrektsiya	vyrazhaet	sposobnost_k_razvitiyu	самокоррекция выражает способность к развитию
самоопределение	samoopredelenie_vyrazhaet	samoopredelenie	vyrazhaet	identichnost	самоопределение выражает идентичность
самооценка	samootsenka_ustanavlivaet	samootsenka	ustanavlivaet	otnoshenie_k_sebe	самооценка устанавливает отношение к себе
свидетельство	svidetelstvo_podtverzhdaet	svidetelstvo	podtverzhdaet	fakty	свидетельство подтверждает факты
свобода и необходимость	svoboda_i_neobkhodimost_i	svoboda_i_neobkhodimost	i	neobkhodimost_sosuschestvuyut_v_deystvii	свобода и необходимость сосуществуют в действии
свобода как условие	svoboda_kak_uslovie_kak	svoboda_kak_uslovie	kak	uslovie_otkryvaet_prostranstvo_dlya_deystviya	свобода как условие открывает пространство для действия
связь времён	svyaz_vremyon_vremyon	svyaz_vremyon	vremyon	vyrazhaet_preemstvennost	связь времён выражает преемственность
сжимает мир до значения	szhimaet_mir_do_znacheniya_mir	szhimaet_mir_do_znacheniya	mir	do_znacheniya_vyrazhaet_smysloobrazovanie	сжимает мир до значения выражает смыслообразование
сигнал опасности	signal_opasnosti_opasnosti	signal_opasnosti	opasnosti	preduprezhdaet_o_ugroze	сигнал опасности предупреждает о угрозе
след прошлого	sled_proshlogo_proshlogo	sled_proshlogo	proshlogo	sokhranyaetsya_v_pamyati	след прошлого сохраняется в памяти
слушание	slushanie_otkryvaet	slushanie	otkryvaet	dostup_k_drugomu	слушание открывает доступ к другому
смысл	smysl_orientiruet	smysl	orientiruet	ponimanie	смысл ориентирует понимание
собственность	sobstvennost_vyrazhaet	sobstvennost	vyrazhaet	otnoshenie_k_vescham	собственность выражает отношение к вещам
собственные состояния субъекта	sobstvennye_sostoyaniya_subekta_sostoyaniya	sobstvennye_sostoyaniya_subekta	sostoyaniya	subekta_sostavlyayut_vnutrenniy_opyt	собственные состояния субъекта составляют внутренний опыт
совесть как свидетель	sovest_kak_svidetel_kak	sovest_kak_svidetel	kak	svidetel_podtverzhdaet_moralnuyu_istinnost	совесть как свидетель подтверждает моральную истинность
совпадение с собой	sovpadenie_s_soboy_s	sovpadenie_s_soboy	s	soboy_vyrazhaet_autentichnost	совпадение с собой выражает аутентичность
созерцание и присутствие	sozertsanie_i_prisutstvie_i	sozertsanie_i_prisutstvie	i	prisutstvie_soedinyayut_subekt_s_mirom	созерцание и присутствие соединяют субъект с миром
соответствие реальности	sootvetstvie_realnosti_realnosti	sootvetstvie_realnosti	realnosti	podtverzhdaet_istinnost	соответствие реальности подтверждает истинность
соотнесённость с целым	sootnesyonnost_s_tselym_s	sootnesyonnost_s_tselym	s	tselym_opredelyaet_kontekst	соотнесённость с целым определяет контекст
соразмерности между деянием и воздаянием	sorazmernosti_mezhdu_deyaniem_i_vozdayaniem_mezhdu	sorazmernosti_mezhdu_deyaniem_i_vozdayaniem	mezhdu	deyaniem_i_vozdayaniem_ustanavlivaet_spravedlivost	соразмерности между деянием и воздаянием устанавливает справедливость
соразмерность частей	sorazmernost_chastey_chastey	sorazmernost_chastey	chastey	vyrazhaet_garmoniyu	соразмерность частей выражает гармонию
способность влиять на действия других	sposobnost_vliyat_na_deystviya_drugikh_vliyat	sposobnost_vliyat_na_deystviya_drugikh	vliyat	na_deystviya_drugikh_vyrazhaet_vlast	способность влиять на действия других выражает власть
способность к обобщению	sposobnost_k_obobscheniyu_k	sposobnost_k_obobscheniyu	k	obobscheniyu_strukturiruet_myshlenie	способность к обобщению структурирует мышление
способность к самоотчёту	sposobnost_k_samootchyotu_k	sposobnost_k_samootchyotu	k	samootchyotu_vyrazhaet_refleksivnost	способность к самоотчёту выражает рефлексивность
становление	stanovlenie_utverzhdaet	stanovlenie	utverzhdaet	eto_protsess_perekhoda_iz_potentsii_v_aktualnost	становление — это процесс перехода из потенции в актуальность
страх и принятие	strakh_i_prinyatie_i	strakh_i_prinyatie	i	prinyatie_vyrazhayut_dialektiku_otnosheniy	страх и принятие выражают диалектику отношений
структура значения	struktura_znacheniya_znacheniya	struktura_znacheniya	znacheniya	organizuet_smysl	структура значения организует смысл
субъекта объектом для самого себя	subekta_obektom_dlya_samogo_sebya_obektom	subekta_obektom_dlya_samogo_sebya	obektom	dlya_samogo_sebya_vyrazhaet_refleksivnost	субъекта объектом для самого себя выражает рефлексивность
сущность	suschnost_opredelyaet	suschnost	opredelyaet	chto_est_vesch	сущность определяет что есть вещь
темп и ритм	temp_i_ritm_i	temp_i_ritm	i	ritm_strukturiruyut_vremya	темп и ритм структурируют время
тишина и пустота	tishina_i_pustota_i	tishina_i_pustota	i	pustota_vyrazhayut_otsutstvie	тишина и пустота выражают отсутствие
узнавание	uznavanie_podtverzhdaet	uznavanie	podtverzhdaet	znakomoe	узнавание подтверждает знакомое
уравнивание всех	uravnivanie_vsekh_vsekh	uravnivanie_vsekh	vsekh	vyrazhaet_universalnost	уравнивание всех выражает универсальность
урок и предупреждение	urok_i_preduprezhdenie_i	urok_i_preduprezhdenie	i	preduprezhdenie_soedinyayut_opyt_i_buduschee	урок и предупреждение соединяют опыт и будущее
усилие и результат	usilie_i_rezultat_i	usilie_i_rezultat	i	rezultat_vyrazhayut_prichinnost_deystviy	усилие и результат выражают причинность действий
усилие против энтропии	usilie_protiv_entropii_protiv	usilie_protiv_entropii	protiv	entropii_vyrazhaet_tvorenie_poryadka	усилие против энтропии выражает творение порядка
условие формы	uslovie_formy_formy	uslovie_formy	formy	opredelyaet_vozmozhnoe	условие формы определяет возможное
усталость и удовлетворение	ustalost_i_udovletvorenie_i	ustalost_i_udovletvorenie	i	udovletvorenie_vyrazhayut_rezultat_truda	усталость и удовлетворение выражают результат труда
утешение и мотив	uteshenie_i_motiv_i	uteshenie_i_motiv	i	motiv_soedinyayut_proshloe_i_buduschee	утешение и мотив соединяют прошлое и будущее
утрата контекста	utrata_konteksta_konteksta	utrata_konteksta	konteksta	vedyot_k_neponimaniyu	утрата контекста ведёт к непониманию
уязвимость и близость	uyazvimost_i_blizost_i	uyazvimost_i_blizost	i	blizost_vyrazhayut_dialektiku_otnosheniy	уязвимость и близость выражают диалектику отношений
уязвимость и риск потери	uyazvimost_i_risk_poteri_i	uyazvimost_i_risk_poteri	i	risk_poteri_soedinyayut_strakh_i_lyubov	уязвимость и риск потери соединяют страх и любовь
уязвимость перед другим	uyazvimost_pered_drugim_pered	uyazvimost_pered_drugim	pered	drugim_otkryvaet_vozmozhnost_doveriya	уязвимость перед другим открывает возможность доверия
факт присутствия	fakt_prisutstviya_prisutstviya	fakt_prisutstviya	prisutstviya	podtverzhdaet_suschestvovanie	факт присутствия подтверждает существование
формализация опыта	formalizatsiya_opyta_opyta	formalizatsiya_opyta	opyta	sozdaet_simvoly	формализация опыта создает символы
целостность жизни	tselostnost_zhizni_zhizni	tselostnost_zhizni	zhizni	predpolagaet_edinstvo_opyta	целостность жизни предполагает единство опыта
ценность другого как несводимую	tsennost_drugogo_kak_nesvodimuyu_drugogo	tsennost_drugogo_kak_nesvodimuyu	drugogo	kak_nesvodimuyu_vyrazhaet_unikalnost	ценность другого как несводимую выражает уникальность
цикличность и линейность	tsiklichnost_i_lineynost_i	tsiklichnost_i_lineynost	i	lineynost_vyrazhayut_raznye_temporality	цикличность и линейность выражают разные temporality
цифра	tsifra_vyrazhaet	tsifra	vyrazhaet	diskretnost_i_tochnost	цифра выражает дискретность и точность
